,Country,EdLevel,Experience,Salary
268,France,"Associate degree (A.A., A.S., etc.)",8,64254.0
269,Italy,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",19,42836.0
272,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25,79246.0
277,Germany,Some college/university study without earning a degree,38,74963.0
279,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4,61041.0
283,Israel,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18,138985.0
285,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7,33000.0
289,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3,55687.0
290,Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,37481.0
291,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25,150000.0
293,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13,131620.0
294,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8,60393.0
295,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",33,120000.0
296,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,77104.0
297,Sweden,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,130841.0
306,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25,91026.0
311,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5,69608.0
320,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",29,15400.0
322,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14,74963.0
323,Italy,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20,74963.0
324,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,80317.0
329,Italy,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,19276.0
330,Switzerland,Some college/university study without earning a degree,7,88173.0
331,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6,58899.0
332,Italy,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",5,21418.0
333,Italy,Something else,2,19276.0
334,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,64254.0
337,other,Some college/university study without earning a degree,4,25701.0
338,Australia,Something else,5,82630.0
346,Switzerland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,154303.0
348,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",23,168000.0
349,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",22,178443.0
351,other,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",13,24751.0
353,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20,54616.0
355,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,70759.0
357,Canada,Some college/university study without earning a degree,10,118962.0
359,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",13,81194.0
362,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,12851.0
364,Israel,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9,107446.0
374,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",22,69608.0
377,India,Some college/university study without earning a degree,14,30292.0
378,Germany,Something else,1,35340.0
379,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,11156.0
380,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12,26657.0
381,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",21,149925.0
382,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,32127.0
383,Poland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13,72975.0
384,United Kingdom of Great Britain and Northern Ireland,"Associate degree (A.A., A.S., etc.)",12,69517.0
385,Germany,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",12,77104.0
389,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,14102.0
391,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",13,69608.0
395,Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,51403.0
397,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,12723.0
399,Switzerland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3,115727.0
406,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14,64254.0
414,Denmark,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10,86271.0
418,Italy,Primary/elementary school,5,18205.0
422,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,64254.0
424,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5,61469.0
433,Norway,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,77021.0
434,Norway,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,90613.0
435,Canada,Something else,21,64686.0
436,other,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20,62246.0
438,United Kingdom of Great Britain and Northern Ireland,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",20,14897.0
441,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,14102.0
444,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,40575.0
447,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4,48813.0
448,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,59970.0
449,United States of America,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",12,167000.0
452,Italy,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3,32127.0
456,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,65325.0
463,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,65431.0
464,Spain,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",10,44978.0
467,Germany,Some college/university study without earning a degree,4,57828.0
469,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,50740.0
471,Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13,69608.0
474,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15,125000.0
479,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11,175000.0
480,France,Some college/university study without earning a degree,11,104948.0
483,Italy,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12,44978.0
486,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,32127.0
492,Italy,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5,68537.0
496,other,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",40,155280.0
497,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6,64254.0
498,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11,117798.0
499,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2,80000.0
502,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6,19152.0
504,France,Something else,5,38981.0
505,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,18190.0
508,Netherlands,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5,69608.0
509,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7,59970.0
515,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,28403.0
523,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",3,41765.0
524,Denmark,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,77644.0
529,Poland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3,47852.0
534,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15,62069.0
535,United States of America,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",15,120000.0
536,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14,140000.0
537,Poland,Something else,5,53403.0
538,Germany,Some college/university study without earning a degree,5,51403.0
541,Germany,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",3,117798.0
542,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2,19843.0
544,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,64254.0
545,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1,33733.0
547,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,12117.0
550,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2,90000.0
551,Poland,Some college/university study without earning a degree,11,60294.0
553,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",23,96381.0
554,Sweden,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15,50752.0
557,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,165974.0
560,United Kingdom of Great Britain and Northern Ireland,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",20,40966.0
563,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9,192000.0
565,Switzerland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",3,121238.0
569,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,102806.0
573,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",27,145000.0
575,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,38552.0
576,Spain,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13,64254.0
579,other,Some college/university study without earning a degree,9,48190.0
587,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,85672.0
590,United States of America,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",2,70000.0
597,Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Less than 1 year,44978.0
602,Switzerland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11,110216.0
603,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4,16964.0
608,Spain,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15,53545.0
610,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,59481.0
612,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,61684.0
615,United States of America,"Associate degree (A.A., A.S., etc.)",25,170000.0
619,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10,51403.0
621,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,26318.0
624,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3,58899.0
628,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20,150000.0
630,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,111527.0
632,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6,55687.0
633,Netherlands,"Associate degree (A.A., A.S., etc.)",6,32127.0
637,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",28,72000.0
640,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14,80690.0
642,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,126000.0
649,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14,101735.0
651,United States of America,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",28,183000.0
653,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14,125000.0
655,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15,107090.0
659,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25,34269.0
661,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2,88884.0
662,Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,74963.0
663,Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11,29985.0
666,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4,74963.0
668,Israel,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",5,80184.0
669,United States of America,Some college/university study without earning a degree,12,200000.0
673,other,Some college/university study without earning a degree,7,17008.0
676,Israel,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,176404.0
677,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25,120000.0
683,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",24,29702.0
684,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13,99593.0
685,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Less than 1 year,41765.0
686,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",16,44978.0
687,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",24,186207.0
688,United Kingdom of Great Britain and Northern Ireland,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",4,86897.0
690,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10,125000.0
698,United States of America,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",5,170000.0
699,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8,91026.0
700,United States of America,"Associate degree (A.A., A.S., etc.)",8,130000.0
702,Canada,Some college/university study without earning a degree,8,63199.0
704,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,68537.0
706,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",23,79749.0
708,Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,32127.0
719,Italy,Some college/university study without earning a degree,5,42836.0
720,Italy,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,40694.0
722,Germany,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",2,68537.0
723,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Less than 1 year,53545.0
726,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,24095.0
729,other,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",7,27296.0
730,Sweden,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",21,49756.0
734,United Kingdom of Great Britain and Northern Ireland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10,83173.0
735,Poland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6,119631.0
737,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,7,34759.0
738,Germany,Some college/university study without earning a degree,21,87813.0
740,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14,102806.0
743,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,44978.0
744,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,30292.0
746,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,16230.0
748,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7,67199.0
749,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15,64254.0
751,Canada,Some college/university study without earning a degree,6,53533.0
752,other,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",17,31175.0
759,Norway,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",27,77021.0
765,other,Some college/university study without earning a degree,1,41765.0
771,Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,74963.0
776,Brazil,Some college/university study without earning a degree,10,36518.0
777,Israel,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",34,58801.0
779,Germany,Some college/university study without earning a degree,4,41765.0
784,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9,74963.0
790,Canada,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",3,96657.0
793,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Less than 1 year,73000.0
797,Spain,Some college/university study without earning a degree,23,69608.0
800,United States of America,Some college/university study without earning a degree,6,50000.0
805,Germany,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",25,128507.0
814,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2,36351.0
818,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",19,76607.0
823,Sweden,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",22,138212.0
824,Netherlands,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",20,85672.0
825,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,14540.0
828,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25,113515.0
830,other,Some college/university study without earning a degree,9,78711.0
833,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",17,85672.0
834,Italy,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",12,38552.0
839,United States of America,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",25,110000.0
840,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,24345.0
846,United Kingdom of Great Britain and Northern Ireland,Something else,5,52138.0
852,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,62112.0
857,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12,48190.0
867,Italy,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",16,42836.0
871,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,80317.0
876,Germany,Some college/university study without earning a degree,20,72607.0
877,Brazil,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",23,28403.0
880,Germany,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",7,53116.0
882,Israel,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13,96220.0
884,Poland,Some college/university study without earning a degree,12,81349.0
885,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,58899.0
888,United States of America,Some college/university study without earning a degree,42,150000.0
889,Netherlands,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5,64254.0
890,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,11511.0
897,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10,165000.0
898,Poland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,38282.0
901,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13,74254.0
910,Italy,"Associate degree (A.A., A.S., etc.)",3,25701.0
913,Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,32127.0
916,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,69608.0
919,France,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,149925.0
924,Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,78175.0
925,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7,54748.0
931,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,54823.0
932,Netherlands,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",23,117798.0
935,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11,74963.0
938,Italy,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3,33198.0
940,United States of America,Some college/university study without earning a degree,27,111420.0
